sound_ID,emotion,intensity,Ave,Max,Min,range,Std,Grow_rate,temp
0276_2,Fear,8,92.5,93,92,1,0.707106781,0.010869565,-0.961149584
0278_2,Fear,1,88.33333333,90,87,3,1.527525232,0.034482759,-0.961149584
0311_2,Fear,3,92,92,92,0,0,0,-0.961149584
0355_2,Fear,8,91.5,92,91,1,0.707106781,0.010989011,-0.961149584
0367_2,Fear,6,90,90,90,0,0,0,-0.981149584
0490_2,Fear,8,91,91,91,0,0,0,-0.981149584
0679_2,Sadness,8,91,92,90,2,1,0.022222222,-0.981149584
0708_2,Sadness,7,93,94,92,2,1,0.02173913,-0.981149584
0750_2,Sadness,3,93,94,92,2,1,0.02173913,-1.011149584
0804_2,Sadness,2,90.33333333,91,89,2,1.154700538,0.02247191,-1.011149584
0810_2,Sadness,6,89.5,90,89,1,0.707106781,0.011235955,-1.011149584
0811_2,Sadness,2,92,92,92,0,0,0,-1.051149584
0886_2,Fear,1,90,91,89,2,1,0.02247191,-1.051149584
0890_2,Sadness,1,81.66666667,86,78,8,4.041451884,0.102564103,-1.051149584
1027_2,Fear,8,89.33333333,93,83,10,5.507570547,0.120481928,-1.036149584
1385_2,Fear,5,93.5,96,91,5,3.535533906,0.054945055,-1.036149584
1386_2,Fear,5,91,92,90,2,1,0.022222222,-1.036149584
1387_2,Fear,7,88.5,89,88,1,0.707106781,0.011363636,-1.036149584
1388_2,Fear,7,89.5,90,89,1,0.707106781,0.011235955,-1.036149584
1389_2,Fear,7,88,90,86,4,2,0.046511628,-1.036149584
1390_2,Fear,7,85.66666667,87,84,3,1.527525232,0.035714286,-1.036149584
0085_2,Happiness,4,89.5,90,89,1,0.707106781,0.011235955,-1.046149584
0166_2,Fear,5,85,87,82,5,2.645751311,0.06097561,-1.046149584
0167_2,Fear,8,76.5,80,74,6,2.645751311,0.081081081,-1.046149584
0173_2,Fear,1,69.33333333,73,66,7,3.511884584,0.106060606,-1.066149584
0217_2,Sadness,2,58,61,55,6,3,0.109090909,-1.066149584
0222_2,Happiness,2,57.33333333,59,56,3,1.527525232,0.053571429,-1.066149584
0233_2,Happiness,1,54.66666667,56,54,2,1.154700538,0.037037037,-1.081149584
0243_2,Fear,1,56.25,57,56,1,0.5,0.017857143,-1.081149584
0255_2,Happiness,6,57,57,57,0,0,0,-1.096149584
0282_2,Sadness,2,58,58,58,0,0,0,-1.096149584
0283_2,Fear,4,59,59,59,0,0,0,-1.096149584
0284_2,Happiness,2,59.5,60,59,1,0.707106781,0.016949153,-1.111149584
0286_2,Fear,1,60.5,61,60,1,0.707106781,0.016666667,-1.111149584
0287_2,Sadness,2,57.66666667,58,57,1,0.577350269,0.01754386,-1.111149584
0288_2,Happiness,2,57.33333333,58,56,2,1.154700538,0.035714286,-1.116149584
0289_2,Happiness,1,56.66666667,57,56,1,0.577350269,0.017857143,-1.116149584
0290_2,Fear,1,58,58,58,0,0,0,-1.116149584
0300_2,Fear,3,58,60,55,5,2.645751311,0.090909091,-1.081149584
0308_2,Fear,2,54.5,55,54,1,0.707106781,0.018518519,-1.081149584
0322_2,Fear,3,56.5,57,56,1,0.707106781,0.017857143,-1.081149584
0327_2,Sadness,1,57.66666667,59,56,3,1.527525232,0.053571429,-1.081149584
0379_2,Sadness,8,56,56,56,0,0,0,-1.081149584
0417_2,Sadness,3,56,57,55,2,1,0.036363636,-1.081149584
0608_2,Sadness,1,58,58,58,0,0,0,-1.081149584
0654_2,Sadness,1,57,57,57,0,0,0,-1.081149584
0664_2,Sadness,1,56.33333333,57,56,1,0.577350269,0.017857143,-1.076149584
0737_2,Fear,2,55.5,56,55,1,0.707106781,0.018181818,-1.076149584
0752_2,Sadness,2,55,55,55,0,0,0,-1.106149584
0753_2,Sadness,3,59.5,60,59,1,0.707106781,0.016949153,-1.106149584
0776_2,Fear,3,60,61,59,2,1.414213562,0.033898305,-1.106149584
0778_2,Fear,3,60,62,58,4,2,0.068965517,-1.141149584
0779_2,Fear,2,58,59,57,2,1.414213562,0.035087719,-1.141149584
0802_2,Fear,2,60.33333333,61,60,1,0.577350269,0.016666667,-1.141149584
0823_2,Sadness,3,57.5,59,56,3,2.121320344,0.053571429,-1.141149584
0911_2,Sadness,1,57,57,57,0,0,0,-1.171149584
0931_2,Sadness,1,63,63,63,0,0,0,-1.171149584
0939_2,Fear,5,62.5,63,62,1,0.707106781,0.016129032,-1.171149584
